"Year","Team","Current Conference","Actual Conference","Team State","Team City","Coach","Ranking","Seed","RPI","Score","Opponent Score","Score Bucket","Opponent Score Bucket","Opponent","Overtimes","Round","Region","Season Wins","Season Losses","Automatic/At-Large","Opponent Current Conference","Opponent Actual Conference","Opponent State","Opponent City","Opponent Ranking","Opponent Seed","Opponent RPI","Opponent Region","Location City","Location State","Day of Week","Date","Decade","Wins","Losses"
"1997","Stanford","Pacific Twelve","Pacific Twelve","California","Palo Alto","Montgomery, Mike","21","6","30","77","82"," 70 - 79"," 80 - 89","Utah","1","Sweet Sixteen","West","20","7","At Large","Pacific Twelve","Western Athletic","Utah","Salt Lake City","2","2","5","West","San Jose","California","Thursday","March 20","1990-1999","0","1"
"1997","Temple","American Athletic","Atlantic Ten","Pennsylvania","Philadelphia","Chaney, John","0","9","38","57","76"," 50 - 59"," 70 - 79","Minnesota","0","Round of 32","Midwest","19","10","At Large","Big Ten","Big Ten","Minnesota","Minneapolis","3","1","4","Midwest","Kansas City","Missouri","Sunday","March 16","1990-1999","0","1"
"1997","Texas","Big Twelve","Big Twelve","Texas","Austin","Penders, Tom","0","10","39","63","78"," 60 - 69"," 70 - 79","Louisville","0","Sweet Sixteen","East","16","11","At Large","Atlantic Coast","Conference USA","Kentucky","Louisville","25","6","18","East","Syracuse","New York","Friday","March 21","1990-1999","0","1"
"1997","Texas State","Sun Belt","Southland","Texas","San Marcos","Miller, Mike","0","16","181","46","78","  0 - 49"," 70 - 79","Minnesota","0","Round of 64","Midwest","16","12","Automatic","Big Ten","Big Ten","Minnesota","Minneapolis","3","1","4","Midwest","Kansas City","Missouri","Friday","March 14","1990-1999","0","1"
"1997","Tulsa","American Athletic","Western Athletic","Oklahoma","Tulsa","Robinson, Steve","0","5","15","59","65"," 50 - 59"," 60 - 69","Clemson","0","Round of 32","Midwest","23","9","At Large","Atlantic Coast","Atlantic Coast","South Carolina","Clemson","14","4","11","Midwest","Kansas City","Missouri","Sunday","March 16","1990-1999","0","1"
"1997","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Lavin, Steve","7","2","10","72","80"," 70 - 79"," 80 - 89","Minnesota","0","Elite Eight","Midwest","21","7","Automatic","Big Ten","Big Ten","Minnesota","Minneapolis","3","1","4","Midwest","San Antonio","Texas","Saturday","March 22","1990-1999","0","1"
"1997","Utah","Pacific Twelve","Western Athletic","Utah","Salt Lake City","Majerus, Rick","2","2","5","59","72"," 50 - 59"," 70 - 79","Kentucky","0","Elite Eight","West","26","3","Automatic","Southeastern","Southeastern","Kentucky","Lexington","5","1","2","West","San Jose","California","Saturday","March 22","1990-1999","0","1"
"1997","Valparaiso","Missouri Valley","Summit League","Indiana","Valparaiso","Drew, Homer","0","12","65","66","73"," 60 - 69"," 70 - 79","Boston College","0","Round of 64","West","24","6","Automatic","Atlantic Coast","Big East","Massachusetts","Chestnut Hill","23","5","33","West","Salt Lake City","Utah","Thursday","March 13","1990-1999","0","1"
"1997","Vanderbilt","Southeastern","Southeastern","Tennessee","Nashville","van Breda Kolff, Jan","0","10","34","68","80"," 60 - 69"," 80 - 89","Xavier, Ohio","0","Round of 64","Midwest","19","11","At Large","Big East","Atlantic Ten","Ohio","Cincinnati","13","7","28","Midwest","Auburn Hills","Michigan","Thursday","March 13","1990-1999","0","1"
"1997","Villanova","Big East","Big East","Pennsylvania","Philadelphia","Lappas, Steve","20","4","8","68","75"," 60 - 69"," 70 - 79","California","0","Round of 32","East","23","9","At Large","Pacific Twelve","Pacific Twelve","California","Berkeley","0","5","21","East","Winston-Salem","North Carolina","Saturday","March 15","1990-1999","0","1"
"1997","Virginia","Atlantic Coast","Atlantic Coast","Virginia","Charlottesville","Jones, Jeff","0","9","25","60","73"," 60 - 69"," 70 - 79","Iowa","0","Round of 64","West","18","12","At Large","Big Ten","Big Ten","Iowa","Iowa City","0","8","37","West","Salt Lake City","Utah","Thursday","March 13","1990-1999","0","1"
"1997","Wake Forest","Atlantic Coast","Atlantic Coast","North Carolina","Winston-Salem","Odom, Dave","9","3","6","66","72"," 60 - 69"," 70 - 79","Stanford","0","Round of 32","West","23","6","At Large","Pacific Twelve","Pacific Twelve","California","Palo Alto","21","6","30","West","Tucson","Arizona","Sunday","March 16","1990-1999","0","1"
"1997","Wisconsin","Big Ten","Big Ten","Wisconsin","Madison","Bennett, Dick","0","7","26","58","71"," 50 - 59"," 70 - 79","Texas","0","Round of 64","East","18","9","At Large","Big Twelve","Big Twelve","Texas","Austin","0","10","39","East","Pittsburgh","Pennsylvania","Friday","March 14","1990-1999","0","1"
"1997","Xavier, Ohio","Big East","Atlantic Ten","Ohio","Cincinnati","Prosser, Skip","13","7","28","83","96"," 80 - 89"," 90 - 99","UCLA","0","Round of 32","Midwest","22","5","At Large","Pacific Twelve","Pacific Twelve","California","Los Angeles","7","2","10","Midwest","Auburn Hills","Michigan","Saturday","March 15","1990-1999","0","1"
"1998","Arizona","Pacific Twelve","Pacific Twelve","Arizona","Tucson","Olson, Luther","4","1","6","51","76"," 50 - 59"," 70 - 79","Utah","0","Elite Eight","West","27","4","Automatic","Pacific Twelve","Western Athletic","Utah","Salt Lake City","7","3","30","West","Anaheim","California","Saturday","March 21","1990-1999","0","1"
"1998","Arkansas","Southeastern","Southeastern","Arkansas","Fayetteville","Richardson, Nolan","17","6","18","69","75"," 60 - 69"," 70 - 79","Utah","0","Round of 32","West","23","8","At Large","Pacific Twelve","Western Athletic","Utah","Salt Lake City","7","3","30","West","Boise","Idaho","Saturday","March 14","1990-1999","0","1"
"1998","Butler","Big East","Horizon League","Indiana","Indianapolis","Collier, Barry","0","13","50","62","79"," 60 - 69"," 70 - 79","New Mexico","0","Round of 64","South","22","10","Automatic","Mountain West","Western Athletic","New Mexico","Albuquerque","18","4","14","South","Lexington","Kentucky","Friday","March 13","1990-1999","0","1"
"1998","Charleston, South Carolina","Colonial","Atlantic Sun","South Carolina","Charleston","Kresse, John","0","14","81","57","67"," 50 - 59"," 60 - 69","Stanford","0","Round of 64","Midwest","24","5","Automatic","Pacific Twelve","Pacific Twelve","California","Palo Alto","10","3","10","Midwest","Chicago","Illinois","Friday","March 13","1990-1999","0","1"
"1998","Charlotte","Conference USA","Conference USA","North Carolina","Charlotte","Watkins, Melvin","0","8","31","83","93"," 80 - 89"," 90 - 99","North Carolina","1","Round of 32","East","19","10","At Large","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","1","1","1","East","Hartford","Connecticut","Saturday","March 14","1990-1999","0","1"
"1998","Cincinnati","American Athletic","Conference USA","Ohio","Cincinnati","Huggins, Bob","9","2","16","74","75"," 70 - 79"," 70 - 79","West Virginia","0","Round of 32","West","26","5","Automatic","Big Twelve","Big East","West Virginia","Morgantown","0","10","46","West","Boise","Idaho","Saturday","March 14","1990-1999","0","1"
"1998","Clemson","Atlantic Coast","Atlantic Coast","South Carolina","Clemson","Barnes, Rick","0","6","28","72","75"," 70 - 79"," 70 - 79","Western Michigan","0","Round of 64","Midwest","18","13","At Large","Mid American","Mid American","Michigan","Kalamazoo","0","11","58","Midwest","Chicago","Illinois","Friday","March 13","1990-1999","0","1"
"1998","Connecticut","American Athletic","Big East","Connecticut","Storrs","Calhoun, Jim","6","2","5","64","75"," 60 - 69"," 70 - 79","North Carolina","0","Elite Eight","East","29","4","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","1","1","1","East","Greensboro","North Carolina","Saturday","March 21","1990-1999","0","1"
"1998","Davidson","Atlantic Ten","Southern","North Carolina","Davidson","McKillop, Bob","0","14","94","61","80"," 60 - 69"," 80 - 89","Michigan","0","Round of 64","South","20","9","Automatic","Big Ten","Big Ten","Michigan","Ann Arbor","12","3","11","South","Atlanta","Georgia","Friday","March 13","1990-1999","0","1"
"1998","Delaware","Colonial","America East","Delaware","Newark","Brey, Mike","0","15","100","56","95"," 50 - 59"," 90 - 99","Purdue","0","Round of 64","Midwest","20","9","Automatic","Big Ten","Big Ten","Indiana","West Lafayette","11","2","8","Midwest","Chicago","Illinois","Friday","March 13","1990-1999","0","1"
"1998","Detroit ","Horizon League","Horizon League","Michigan","Detroit","Watson, Perry","0","10","38","65","80"," 60 - 69"," 80 - 89","Purdue","0","Round of 32","Midwest","24","5","At Large","Big Ten","Big Ten","Indiana","West Lafayette","11","2","8","Midwest","Chicago","Illinois","Sunday","March 15","1990-1999","0","1"
"1998","Duke","Atlantic Coast","Atlantic Coast","North Carolina","Durham","Krzyzewski, Mike","3","1","2","84","86"," 80 - 89"," 80 - 89","Kentucky","0","Elite Eight","South","29","3","At Large","Southeastern","Southeastern","Kentucky","Lexington","5","2","3","South","St. Petersburg","Florida","Sunday","March 22","1990-1999","0","1"
"1998","Eastern Michigan","Mid American","Mid American","Michigan","Ypsilanti","Barnes, Milton","0","13","60","71","83"," 70 - 79"," 80 - 89","Michigan State","0","Round of 64","East","20","9","Automatic","Big Ten","Big Ten","Michigan","East Lansing","16","4","15","East","Hartford","Connecticut","Thursday","March 12","1990-1999","0","1"
"1998","Fairleigh Dickinson","Northeast","Northeast","New Jersey","Teaneck","Green, Tom","0","15","96","85","93"," 80 - 89"," 90 - 99","Connecticut","0","Round of 64","East","23","6","Automatic","American Athletic","Big East","Connecticut","Storrs","6","2","5","East","Washington","District of Columbia","Thursday","March 12","1990-1999","0","1"
"1998","Florida State","Atlantic Coast","Atlantic Coast","Florida","Tallahassee","Robinson, Steve","0","12","39","77","83"," 70 - 79"," 80 - 89","Valparaiso","1","Round of 32","Midwest","17","13","At Large","Missouri Valley","Summit League","Indiana","Valparaiso","0","13","83","Midwest","Oklahoma City","Oklahoma","Sunday","March 15","1990-1999","0","1"
"1998","George Washington","Atlantic Ten","Atlantic Ten","District of Columbia","Washington","Jarvis, Mike","0","9","34","59","74"," 50 - 59"," 70 - 79","Oklahoma State","0","Round of 64","South","24","8","At Large","Big Twelve","Big Twelve","Oklahoma","Stillwater","0","8","36","South","Lexington","Kentucky","Friday","March 13","1990-1999","0","1"
"1998","Illinois","Big Ten","Big Ten","Illinois","Champaign","Kruger, Lon","22","5","27","61","67"," 60 - 69"," 60 - 69","Maryland","0","Round of 32","West","22","9","At Large","Big Ten","Atlantic Coast","Maryland","College Park","20","4","7","West","Sacramento","California","Saturday","March 14","1990-1999","0","1"
"1998","Illinois State","Missouri Valley","Missouri Valley","Illinois","Normal","Stallings, Kevin","0","9","33","49","82","  0 - 49"," 80 - 89","Arizona","0","Round of 32","West","24","5","Automatic","Pacific Twelve","Pacific Twelve","Arizona","Tucson","4","1","6","West","Sacramento","California","Saturday","March 14","1990-1999","0","1"
"1998","Illinois-Chicago","Horizon League","Horizon League","Illinois","Chicago","Collins, Jimmy","0","9","29","62","77"," 60 - 69"," 70 - 79","Charlotte","0","Round of 64","East","22","5","At Large","Conference USA","Conference USA","North Carolina","Charlotte","0","8","31","East","Hartford","Connecticut","Thursday","March 12","1990-1999","0","1"
"1998","Indiana","Big Ten","Big Ten","Indiana","Bloomington","Knight, Bob","0","7","25","68","78"," 60 - 69"," 70 - 79","Connecticut","0","Round of 32","East","19","11","At Large","American Athletic","Big East","Connecticut","Storrs","6","2","5","East","Washington","District of Columbia","Saturday","March 14","1990-1999","0","1"
"1998","Iona","Metro Atlantic","Metro Atlantic","New York","New Rochelle","Welsh, Tim","0","12","40","61","63"," 60 - 69"," 60 - 69","Syracuse","0","Round of 64","South","27","5","Automatic","Atlantic Coast","Big East","New York","Syracuse","21","5","17","South","Lexington","Kentucky","Friday","March 13","1990-1999","0","1"
"1998","Kansas","Big Twelve","Big Twelve","Kansas","Lawrence","Williams, Roy","2","1","4","75","80"," 70 - 79"," 80 - 89","Rhode Island","0","Round of 32","Midwest","34","3","Automatic","Atlantic Ten","Atlantic Ten","Rhode Island","Kingston","0","8","22","Midwest","Oklahoma City","Oklahoma","Sunday","March 15","1990-1999","0","1"
"1998","Maryland","Big Ten","Atlantic Coast","Maryland","College Park","Williams, Gary","20","4","7","79","87"," 70 - 79"," 80 - 89","Arizona","0","Sweet Sixteen","West","19","10","At Large","Pacific Twelve","Pacific Twelve","Arizona","Tucson","4","1","6","West","Anaheim","California","Thursday","March 19","1990-1999","0","1"
"1998","Massachusetts","Atlantic Ten","Atlantic Ten","Massachusetts","Amherst","Flint, Bruiser","0","7","20","46","51","  0 - 49"," 50 - 59","St. Louis","0","Round of 64","South","21","10","At Large","Atlantic Ten","Conference USA","Missouri","St. Louis","0","10","47","South","Atlanta","Georgia","Friday","March 13","1990-1999","0","1"
"1998","Miami, Florida","Atlantic Coast","Big East","Florida","Coral Gables","Hamilton, Leonard","0","11","49","62","65"," 60 - 69"," 60 - 69","UCLA","0","Round of 64","South","18","9","At Large","Pacific Twelve","Pacific Twelve","California","Los Angeles","19","6","13","South","Atlanta","Georgia","Friday","March 13","1990-1999","0","1"
"1998","Michigan","Big Ten","Big Ten","Michigan","Ann Arbor","Ellerbe, Brian","12","3","11","82","85"," 80 - 89"," 80 - 89","UCLA","0","Round of 32","South","24","8","Automatic","Pacific Twelve","Pacific Twelve","California","Los Angeles","19","6","13","South","Atlanta","Georgia","Sunday","March 15","1990-1999","0","1"
"1998","Michigan State","Big Ten","Big Ten","Michigan","East Lansing","Izzo, Tom","16","4","15","58","73"," 50 - 59"," 70 - 79","North Carolina","0","Sweet Sixteen","East","20","7","At Large","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","1","1","1","East","Greensboro","North Carolina","Thursday","March 19","1990-1999","0","1"
"1998","Mississippi","Southeastern","Southeastern","Mississippi","Oxford","Evans, Rob","13","4","12","69","70"," 60 - 69"," 70 - 79","Valparaiso","0","Round of 64","Midwest","22","6","At Large","Missouri Valley","Summit League","Indiana","Valparaiso","0","13","83","Midwest","Oklahoma City","Oklahoma","Friday","March 13","1990-1999","0","1"
"1998","Murray State","Ohio Valley","Ohio Valley","Kentucky","Murray","Gottfried, Mark","25","9","43","74","97"," 70 - 79"," 90 - 99","Rhode Island","0","Round of 64","Midwest","29","3","Automatic","Atlantic Ten","Atlantic Ten","Rhode Island","Kingston","0","8","22","Midwest","Oklahoma City","Oklahoma","Friday","March 13","1990-1999","0","1"
"1998","Navy","Patriot","Patriot","Maryland","Annapolis","DeVoe, Don","0","16","171","52","88"," 50 - 59"," 80 - 89","North Carolina","0","Round of 64","East","19","10","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","1","1","1","East","Hartford","Connecticut","Thursday","March 12","1990-1999","0","1"
"1998","Nebraska","Big Ten","Big Twelve","Nebraska","Lincoln","Nee, Danny","0","11","37","65","74"," 60 - 69"," 70 - 79","Arkansas","0","Round of 64","West","20","11","At Large","Southeastern","Southeastern","Arkansas","Fayetteville","17","6","18","West","Boise","Idaho","Thursday","March 12","1990-1999","0","1"
"1998","Nevada-Las Vegas","Mountain West","Western Athletic","Nevada","Las Vegas","Bayno, Bill","0","12","42","57","69"," 50 - 59"," 60 - 69","Princeton","0","Round of 64","East","20","12","Automatic","Ivy League","Ivy League","New Jersey","Princeton","8","5","21","East","Hartford","Connecticut","Thursday","March 12","1990-1999","0","1"
"1998","New Mexico","Mountain West","Western Athletic","New Mexico","Albuquerque","Bliss, Dave","18","4","14","46","56","  0 - 49"," 50 - 59","Syracuse","0","Round of 32","South","23","7","At Large","Atlantic Coast","Big East","New York","Syracuse","21","5","17","South","Lexington","Kentucky","Sunday","March 15","1990-1999","0","1"
"1998","Nicholls State","Southland","Southland","Louisiana","Thibodaux","Broussard, Rickey","0","16","144","60","99"," 60 - 69"," 90 - 99","Arizona","0","Round of 64","West","19","9","Automatic","Pacific Twelve","Pacific Twelve","Arizona","Tucson","4","1","6","West","Sacramento","California","Thursday","March 12","1990-1999","0","1"
"1998","North Carolina","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","Guthridge, Bill","1","1","1","59","65"," 50 - 59"," 60 - 69","Utah","0","National Semifinals","East","30","3","Automatic","Pacific Twelve","Western Athletic","Utah","Salt Lake City","7","3","30","West","San Antonio","Texas","Saturday","March 28","1990-1999","0","1"
"1998","Northern Arizona","Big Sky","Big Sky","Arizona","Flagstaff","Howland, Ben","0","15","130","62","65"," 60 - 69"," 60 - 69","Cincinnati","0","Round of 64","West","21","7","Automatic","American Athletic","Conference USA","Ohio","Cincinnati","9","2","16","West","Boise","Idaho","Thursday","March 12","1990-1999","0","1"
"1998","Oklahoma","Big Twelve","Big Twelve","Oklahoma","Norman","Sampson, Kelvin","0","10","51","87","94"," 80 - 89"," 90 - 99","Indiana","1","Round of 64","East","22","10","At Large","Big Ten","Big Ten","Indiana","Bloomington","0","7","25","East","Washington","District of Columbia","Thursday","March 12","1990-1999","0","1"
"1998","Oklahoma State","Big Twelve","Big Twelve","Oklahoma","Stillwater","Sutton, Eddie","0","8","36","73","79"," 70 - 79"," 70 - 79","Duke","0","Round of 32","South","21","6","At Large","Atlantic Coast","Atlantic Coast","North Carolina","Durham","3","1","2","South","Lexington","Kentucky","Sunday","March 15","1990-1999","0","1"
"1998","Prairie View","Southwestern Athletic","Southwestern Athletic","Texas","Prairie View","Plummer, Elwood","0","16","262","52","110"," 50 - 59","100 or more","Kansas","0","Round of 64","Midwest","13","16","Automatic","Big Twelve","Big Twelve","Kansas","Lawrence","2","1","4","Midwest","Oklahoma City","Oklahoma","Friday","March 13","1990-1999","0","1"
"1998","Princeton","Ivy League","Ivy League","New Jersey","Princeton","Carmody, Bill","8","5","21","56","63"," 50 - 59"," 60 - 69","Michigan State","0","Round of 32","East","26","1","Automatic","Big Ten","Big Ten","Michigan","East Lansing","16","4","15","East","Hartford","Connecticut","Saturday","March 14","1990-1999","0","1"
"1998","Purdue","Big Ten","Big Ten","Indiana","West Lafayette","Keady, Gene","11","2","8","59","67"," 50 - 59"," 60 - 69","Stanford","0","Sweet Sixteen","Midwest","26","7","At Large","Pacific Twelve","Pacific Twelve","California","Palo Alto","10","3","10","Midwest","St. Louis","Missouri","Friday","March 20","1990-1999","0","1"
"1998","Radford","Big South","Big South","Virginia","Radford","Bradley, Ron","0","16","181","63","99"," 60 - 69"," 90 - 99","Duke","0","Round of 64","South","20","9","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Durham","3","1","2","South","Lexington","Kentucky","Friday","March 13","1990-1999","0","1"
"1998","Rhode Island","Atlantic Ten","Atlantic Ten","Rhode Island","Kingston","Harrick, Jim","0","8","22","77","79"," 70 - 79"," 70 - 79","Stanford","0","Elite Eight","Midwest","22","8","At Large","Pacific Twelve","Pacific Twelve","California","Palo Alto","10","3","10","Midwest","St. Louis","Missouri","Sunday","March 22","1990-1999","0","1"
"1998","Richmond","Atlantic Ten","Colonial","Virginia","Richmond","Beilein, John","0","14","69","66","87"," 60 - 69"," 80 - 89","Washington","0","Round of 32","East","22","7","Automatic","Pacific Twelve","Pacific Twelve","Washington","Seattle","0","11","41","East","Washington","District of Columbia","Saturday","March 14","1990-1999","0","1"
"1998","San Francisco","West Coast","West Coast","California","San Francisco","Mathews, Phil","0","14","99","68","85"," 60 - 69"," 80 - 89","Utah","0","Round of 64","West","19","10","Automatic","Pacific Twelve","Western Athletic","Utah","Salt Lake City","7","3","30","West","Boise","Idaho","Thursday","March 12","1990-1999","0","1"
"1998","South Alabama","Sun Belt","Sun Belt","Alabama","Mobile","Weltlich, Bob","0","12","57","51","64"," 50 - 59"," 60 - 69","Illinois","0","Round of 64","West","21","6","Automatic","Big Ten","Big Ten","Illinois","Champaign","22","5","27","West","Sacramento","California","Thursday","March 12","1990-1999","0","1"
"1998","South Carolina","Southeastern","Southeastern","South Carolina","Columbia","Fogler, Eddie","14","3","9","61","62"," 60 - 69"," 60 - 69","Richmond","0","Round of 64","East","23","7","At Large","Atlantic Ten","Colonial","Virginia","Richmond","0","14","69","East","Washington","District of Columbia","Thursday","March 12","1990-1999","0","1"
"1998","South Carolina State","Mid Eastern","Mideastern","South Carolina","Orangeburg","Alexander, Cy","0","15","108","67","82"," 60 - 69"," 80 - 89","Kentucky","0","Round of 64","South","22","7","Automatic","Southeastern","Southeastern","Kentucky","Lexington","5","2","3","South","Atlanta","Georgia","Friday","March 13","1990-1999","0","1"
"1998","St. John's, New York","Big East","Big East","New York","Jamaica","Fraschilla, Fran","0","7","32","64","66"," 60 - 69"," 60 - 69","Detroit","0","Round of 64","Midwest","22","9","At Large","Horizon League","Horizon League","Michigan","Detroit","0","10","38","Midwest","Chicago","Illinois","Friday","March 13","1990-1999","0","1"
"1998","St. Louis","Atlantic Ten","Conference USA","Missouri","St. Louis","Spoonhour, Charlie","0","10","47","61","88"," 60 - 69"," 80 - 89","Kentucky","0","Round of 32","South","21","10","At Large","Southeastern","Southeastern","Kentucky","Lexington","5","2","3","South","Atlanta","Georgia","Sunday","March 15","1990-1999","0","1"
"1998","Stanford","Pacific Twelve","Pacific Twelve","California","Palo Alto","Montgomery, Mike","10","3","10","85","86"," 80 - 89"," 80 - 89","Kentucky","1","National Semifinals","Midwest","26","4","At Large","Southeastern","Southeastern","Kentucky","Lexington","5","2","3","South","San Antonio","Texas","Saturday","March 28","1990-1999","0","1"
"1998","Syracuse","Atlantic Coast","Big East","New York","Syracuse","Boeheim, Jim","21","5","17","67","80"," 60 - 69"," 80 - 89","Duke","0","Sweet Sixteen","South","24","8","At Large","Atlantic Coast","Atlantic Coast","North Carolina","Durham","3","1","2","South","St. Petersburg","Florida","Friday","March 20","1990-1999","0","1"
"1998","Temple","American Athletic","Atlantic Ten","Pennsylvania","Philadelphia","Chaney, John","24","7","26","52","82"," 50 - 59"," 80 - 89","West Virginia","0","Round of 64","West","21","8","At Large","Big Twelve","Big East","West Virginia","Morgantown","0","10","46","West","Boise","Idaho","Thursday","March 12","1990-1999","0","1"
"1998","Tennessee","Southeastern","Southeastern","Tennessee","Knoxville","Green, Jerry","0","8","24","81","82"," 80 - 89"," 80 - 89","Illinois State","1","Round of 64","West","20","8","At Large","Missouri Valley","Missouri Valley","Illinois","Normal","0","9","33","West","Sacramento","California","Thursday","March 12","1990-1999","0","1"
"1998","Texas Christian","Big Twelve","Western Athletic","Texas","Fort Worth","Tubbs, Billy","15","5","19","87","96"," 80 - 89"," 90 - 99","Florida State","0","Round of 64","Midwest","27","5","At Large","Atlantic Coast","Atlantic Coast","Florida","Tallahassee","0","12","39","Midwest","Oklahoma City","Oklahoma","Friday","March 13","1990-1999","0","1"
"1998","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Lavin, Steve","19","6","13","68","94"," 60 - 69"," 90 - 99","Kentucky","0","Sweet Sixteen","South","22","8","At Large","Southeastern","Southeastern","Kentucky","Lexington","5","2","3","South","St. Petersburg","Florida","Friday","March 20","1990-1999","0","1"
"1998","Utah","Pacific Twelve","Western Athletic","Utah","Salt Lake City","Majerus, Rick","7","3","30","69","78"," 60 - 69"," 70 - 79","Kentucky","0","National Championship","West","25","3","At Large","Southeastern","Southeastern","Kentucky","Lexington","5","2","3","South","San Antonio","Texas","Monday","March 30","1990-1999","0","1"
"1998","Utah State","Mountain West","Big West","Utah","Logan","Eustachy, Larry","0","13","48","68","82"," 60 - 69"," 80 - 89","Maryland","0","Round of 64","West","25","7","Automatic","Big Ten","Atlantic Coast","Maryland","College Park","20","4","7","West","Sacramento","California","Thursday","March 12","1990-1999","0","1"
"1998","Valparaiso","Missouri Valley","Summit League","Indiana","Valparaiso","Drew, Homer","0","13","83","68","74"," 60 - 69"," 70 - 79","Rhode Island","0","Sweet Sixteen","Midwest","21","9","Automatic","Atlantic Ten","Atlantic Ten","Rhode Island","Kingston","0","8","22","Midwest","St. Louis","Missouri","Friday","March 20","1990-1999","0","1"
"1998","Washington","Pacific Twelve","Pacific Twelve","Washington","Seattle","Bender, Bob","0","11","41","74","75"," 70 - 79"," 70 - 79","Connecticut","0","Sweet Sixteen","East","18","9","At Large","American Athletic","Big East","Connecticut","Storrs","6","2","5","East","Greensboro","North Carolina","Thursday","March 19","1990-1999","0","1"
"1998","West Virginia","Big Twelve","Big East","West Virginia","Morgantown","Catlett, Gale","0","10","46","62","65"," 60 - 69"," 60 - 69","Utah","0","Sweet Sixteen","West","22","8","At Large","Pacific Twelve","Western Athletic","Utah","Salt Lake City","7","3","30","West","Anaheim","California","Thursday","March 19","1990-1999","0","1"
"1998","Western Michigan","Mid American","Mid American","Michigan","Kalamazoo","Donewald, Bob","0","11","58","65","83"," 60 - 69"," 80 - 89","Stanford","0","Round of 32","Midwest","20","7","At Large","Pacific Twelve","Pacific Twelve","California","Palo Alto","10","3","10","Midwest","Chicago","Illinois","Sunday","March 15","1990-1999","0","1"
"1998","Xavier, Ohio","Big East","Atlantic Ten","Ohio","Cincinnati","Prosser, Skip","23","6","23","68","69"," 60 - 69"," 60 - 69","Washington","0","Round of 64","East","22","7","Automatic","Pacific Twelve","Pacific Twelve","Washington","Seattle","0","11","41","East","Washington","District of Columbia","Thursday","March 12","1990-1999","0","1"
"1999","Alcorn State","Southwestern Athletic","Southwestern Athletic","Mississippi","Lorman","Whitney, Davey","0","15","116","57","69"," 50 - 59"," 60 - 69","Stanford","0","Round of 64","West","23","6","Automatic","Pacific Twelve","Pacific Twelve","California","Palo Alto","7","2","5","West","Seattle","Washington","Thursday","March 11","1990-1999","0","1"
"1999","Arizona","Pacific Twelve","Pacific Twelve","Arizona","Tucson","Olson, Luther","12","4","13","60","61"," 60 - 69"," 60 - 69","Oklahoma","0","Round of 64","Midwest","22","6","At Large","Big Twelve","Big Twelve","Oklahoma","Norman","0","13","49","Midwest","Milwaukee","Wisconsin","Friday","March 12","1990-1999","0","1"
"1999","Arkansas","Southeastern","Southeastern","Arkansas","Fayetteville","Richardson, Nolan","17","4","28","72","82"," 70 - 79"," 80 - 89","Iowa","0","Round of 32","West","22","10","At Large","Big Ten","Big Ten","Iowa","Iowa City","21","5","12","West","Denver","Colorado","Saturday","March 13","1990-1999","0","1"
"1999","Arkansas State","Sun Belt","Sun Belt","Arkansas","Jonesboro","Nutt, Dickey","0","15","133","58","80"," 50 - 59"," 80 - 89","Utah","0","Round of 64","Midwest","18","11","Automatic","Pacific Twelve","Western Athletic","Utah","Salt Lake City","6","2","18","Midwest","New Orleans","Louisiana","Friday","March 12","1990-1999","0","1"
"1999","Auburn","Southeastern","Southeastern","Alabama","Auburn","Ellis, Cliff","4","1","6","64","72"," 60 - 69"," 70 - 79","Ohio State","0","Sweet Sixteen","South","27","3","At Large","Big Ten","Big Ten","Ohio","Columbus","14","4","20","South","Knoxville","Tennessee","Thursday","March 18","1990-1999","0","1"
"1999","Charleston, South Carolina","Colonial","Southern","South Carolina","Charleston","Kresse, John","16","8","33","53","62"," 50 - 59"," 60 - 69","Tulsa","0","Round of 64","East","28","2","Automatic","American Athletic","Western Athletic","Oklahoma","Tulsa","0","9","29","East","Charlotte","North Carolina","Friday","March 12","1990-1999","0","1"
"1999","Charlotte","Conference USA","Conference USA","North Carolina","Charlotte","Lutz, Bobby","24","5","19","72","85"," 70 - 79"," 80 - 89","Oklahoma","0","Round of 32","Midwest","22","10","Automatic","Big Twelve","Big Twelve","Oklahoma","Norman","0","13","49","Midwest","Milwaukee","Wisconsin","Sunday","March 14","1990-1999","0","1"
"1999","Cincinnati","American Athletic","Conference USA","Ohio","Cincinnati","Huggins, Bob","11","3","9","54","64"," 50 - 59"," 60 - 69","Temple","0","Round of 32","East","26","5","At Large","American Athletic","Atlantic Ten","Pennsylvania","Philadelphia","0","6","30","East","Boston","Massachusetts","Sunday","March 14","1990-1999","0","1"
"1999","Creighton","Big East","Missouri Valley","Nebraska","Omaha","Altman, Dana","0","10","34","63","75"," 60 - 69"," 70 - 79","Maryland","0","Round of 32","South","21","8","Automatic","Big Ten","Atlantic Coast","Maryland","College Park","5","2","4","South","Orlando","Florida","Saturday","March 13","1990-1999","0","1"
